id,sentence,target
1,오렌지플래닛 관계자는 “투자시장이 위축되며 어려움을 겪는 스타트업이 늘어나고 있는 가운데 이번 정기모집으로 예비창업팀부터 초기 스타트업까지 폭넓게 지원할 수 있을 것으로 기대한다”며 “앞으로도 창업팀들이 혁신에 집중하고 더욱 빠르게 성장해 나갈 수 있도록 성장 단계를 고려해 다방면으로 지원할 계획”이라고 말했다.
2,왜냐하면 어차피 나중에 좋은 레시피 바르려면은
3,스택이 있긴 한데 저주류 스택이 쌓이면 진짜 아프긴 해.
4,지난 날을 되돌아 보면 세사을 그저 그렇게 열심히 살아오지 않은 것에 대해 후회가 미련에 남아 왜 그랬을까?로 시작해서 그 때 정신을 차렸으면 하는 아쉬움이 남는다.
5,"이런 저런 책을 읽다 보니 미처 몰랐던 나를 돌아보게 되고 나를 조금씩 알아가면서 남에게 보여지는 ""나""와 내가 보는 ""나""하고 상당한 괴리가 있음을 깨닫고 지나온 삶 속의 문제들이 내가 문제였음을 알아가는 것이 내 삶속에 있어서 상당한 성과이기도 하다."
6,"룸메이트인 란초, 파르한, 라주가 대학에 신입생으로 들어오면서 영화가 시작된다."
7,란초는 아기를 꺼내려면 진공 기계가 있어야 한다는 사실을 듣고 아이디어를 떠올린다.
8,"열흘 넘게 집 안에서만 놀고있는 아기를 보면, 참 앞으로의 세상이 어떻게 될지 걱정스럽다."
9,그렇게 현실에 한 잔 취해 있다보면 또 로또가 사고 싶어진다.
10,그러자 갑자기 숨을 쉬는 것이 의식되면서 루다는 켁 하고 물을 먹었다.
11,크면 다 알게될꺼라는 말들
12,로이터통신은 서방 제재에도 인도와 러시아 간 비달러화 원유 거래가 계속되고 있다면서 이는 국제 원유 시장에서 달러 패권이 잠식되고 있다는 신호라 전했다.
13,나도 언니처럼 예쁘다면 참 좋을 텐데.
14,"중국 모멘텀 강화 기대감에 대해서는 “중국 경제가 본격적 위드 코로나 특수를 누릴 수 있다면 중국은 물론 이머징 경기에 긍정적 영향을 미칠 것”이라며 “동시에 중국 모멘텀 강화는 글로벌 자금의 위험자산 선호 현상을 강화시키는 계기로, 또 다른 달러 약세 압력”이라고 평가했다."
15,2차적으로 본다면 해당 팀 감독과 코치 시도 협회 총 단장 등에 관리 책임이 있다.
16,최대의 효용을 갖는 펜션을 선택했을 거야라고 본다면
17,그러니까 말하자면은 바닷속에서는 굉장히 많은 생명들과 살아 있음이 느껴진다면
18,지금껏 남에게 보여지기 위한 삶을 살았다면 이제는 남이 아닌 내가 만족하고 행복한 삶을 살아야겠다.
19,이러한 생각을 종합해서 생각해본 결과 내가 가지고 있는 신념과 도덕적 가치가 맞다고 생각된다면 주변의 어떠한 시선과 고난이 있다고 하더라도 지켜내고 끝까지 이뤄내야 된다는 자신감을 가져야 한다는 결론을 내리게 되었습니다.
20,그러기 위해서는 내가 더욱더 내 분야의 실력을 쌓기 위해 최선을 다하고 노력을 한다면 관우의 삶의 아주 일부라도 비슷하게 갈수 있지 않을까라는 생각을 해보게 됩니다.
21,기존 방식으로 일하는 것에 최적화돼 있다면 노사가 합의를 안 하고 기존대로 가면 된다.
